Time(s):	R.Med. Gastro(μV):	R.Tib.Ant.(μV):	R.Rectus Fem.(μV):	R.Biceps Fem.(μV):
0.152000	 10.957570	 51.178570	 330.272640	 38.251900	 
0.152500	 10.598420	 52.480820	 317.014220	 38.590410	 
0.153000	 10.407820	 52.365640	 311.731900	 39.103450	 
0.153500	 10.332710	 51.488060	 320.777800	 39.666810	 
0.154000	 10.304560	 50.862280	 342.713710	 40.154670	 
0.154500	 10.293440	 51.380220	 367.564330	 40.458820	 
0.155000	 10.305730	 53.530210	 382.958250	 40.511490	 
0.155500	 10.340580	 57.447300	 381.653750	 40.333900	 
0.156000	 10.371000	 63.017650	 369.018650	 40.047390	 
0.156500	 10.375390	 69.811310	 368.020450	 39.807040	 
0.157000	 10.368100	 77.066540	 406.127590	 39.702520	 
0.157500	 10.371880	 83.920480	 483.494660	 39.714170	 
0.158000	 10.368250	 89.705760	 574.058170	 39.752700	 
0.158500	 10.332890	 94.079300	 653.622800	 39.719080	 
0.159000	 10.390080	 96.972400	 712.020510	 39.526190	 
0.159500	 10.893970	 98.502270	 750.732790	 39.097320	 
0.160000	 12.062510	 98.949070	 776.293030	 38.381610	 
0.160500	 13.458810	 98.747720	 795.144470	 37.390700	 
0.161000	 14.286940	 98.378970	 811.664490	 36.234060	 
0.161500	 14.212380	 98.185140	 827.878970	 35.115230	 
0.162000	 13.802080	 98.281880	 843.366700	 34.253480	 
0.162500	 14.094570	 98.650430	 855.768740	 33.774670	 
0.163000	 15.458170	 99.290140	 862.759220	 33.652350	 
0.163500	 17.344050	 100.295850	 864.496340	 33.663780	 
0.164000	 19.147330	 101.894080	 864.378230	 33.339800	 
0.164500	 20.617850	 104.500080	 867.219300	 32.090210	 
0.165000	 21.752180	 108.677230	 876.321040	 29.634700	 
0.165500	 22.634360	 114.822840	 891.860900	 26.492420	 
0.166000	 23.354190	 122.692180	 911.538760	 23.937760	 
0.166500	 23.984910	 131.217070	 932.355410	 22.898640	 
0.167000	 24.585000	 138.920520	 952.008000	 22.849700	 
0.167500	 25.201280	 144.626800	 969.348140	 22.691020	 
0.168000	 25.864810	 147.922710	 984.170960	 22.168940	 
